TITLE_ID_NUMBER	TITLE	IMDB_TITLE	EPISODE_DATE	MOVIE_DATE	LENGTH	SHOTS_TOTAL	ASL	MAXIMUM_SL	STANDARD_DEVIATION	COMMENTS	DATE_SUBMITTED
649	Marie Antoinette	Marie Antoinette		2006	6722	549	12.24	227	22.07		09 May 2012
215	Mark of Zorro, The	Mark of Zorro, The		1920	5644	1031	5.47	49	5.40		13 January 2009
869	In Search of... Martin	Martin	1994-09-01		1261	154	8.19	81	9.36		23 January 2014
157	Doctored Will	Martin Kane	1951-01-01		1511	73	20.70	103	19.75		22 September 2008
523	Hotel Con Game	Martin Kane	1951-01-01		1490	81	18.40	110	19.27	Broadcast date is unknown, but IMDb says it is episode 30 of the second season.	02 November 2011
650	Match Point	Match Point		2005	7336	543	13.51	165	15.70		09 May 2012
753	Memento	Memento		2000	6658	1877	3.55	221	6.52		08 April 2013
149	Cool Runnin', Part 1	Miami Vice	1984-10-05		307	65	4.72	61	8.11		03 September 2008
150	Cool Runnin', Part 2	Miami Vice	1984-10-05		2500	420	5.95	59	6.96		03 September 2008
151	The Hit List, Part 1	Miami Vice	1984-10-19		141	24	5.88	37	8.83		03 September 2008
152	The Hit List, Part 2	Miami Vice	1984-10-19		2670	430	6.21	131	11.33		03 September 2008
153	One Eyed Jack, Part 1	Miami Vice	1984-11-02		234	49	4.78	33	5.83		03 September 2008
154	One Eyed Jack, Part 2	Miami Vice	1984-11-02		2576	484	5.32	59	6.57		03 September 2008
163	Miami Vice (movie)	Miami Vice		2006	8029	1635	4.91	56	4.09		09 October 2008
659	High Cost Of Dying, The	Mike Hammer	1958-01-07		1483	120	12.36	164	19.99	Also known as Mickey Spillane's Mike Hammer. A syndicated show so the dates are approximate and are taken from IMDb.	30 May 2012
660	Death Gets a Diploma	Mike Hammer	1958-01-28		1486	90	16.51	176	24.68	Also known as Mickey Spillane's Mike Hammer. Syndicated, so air dates are approximate, from IMDb.	30 May 2012
661	Letter Edged in Blackmail	Mike Hammer	1958-02-25		1475	80	18.44	158	25.22	Also known as Mickey Spillane's Mike Hammer. Syndicated, so air dates are approximate, from IMDb.	30 May 2012
40	Miller's Crossing	Miller's Crossing		1990	1783	276	6.46	67	8.43	From first 30 minutes of film, including titles.	17 January 2008
961	Blind	Mission Impossible	1971-09-18		3018	492	6.13	81	7.78		13 January 2015
897	Ed the Beneficiary	Mister Ed	1962-01-21		1440	161	8.94	78	11.84		18 February 2014
507	Moon Landing	Modern Family	2010-02-03		1289	215	6.00	40	6.08		17 October 2011
762	The Old Wagon	Modern Family	2010-09-22		1295	273	4.74	50	4.89		15 April 2013
651	Moneyball	Moneyball		2011	7769	1483	5.24	81	5.34		09 May 2012
760	Mr. Monk and the Candidate	Monk	2002-07-12		4562	540	8.45	86	10.03		15 April 2013
761	Monk 100th case	Monk	2008-09-05		2542	414	6.14	107	8.57		15 April 2013
889	Monkey Business	Monkey Business		1952	5804	412	14.09	114	18.63		05 February 2014
178	Dream Sequence Always Rings Twice, The	Moonlighting	1985-10-15		2811	524	5.36	77	7.27		23 October 2008
179	My Fair David	Moonlighting	1985-10-29		2938	728	4.04	59	5.17		23 October 2008
922	Morocco	Morocco		1930	5316	471	11.29	69	11.41		16 April 2014
508	My Father the Hero	My Father the Hero		1994	5129	927	5.53	42	5.69	The 1994 remake of the 1991 French film.	17 October 2011
37	Dancing in the Dark	My So-Called Life	1994-09-01		1865	297	6.28	62	9.64		17 January 2008
146	Ritchie Scores (excerpt)	New Adventures of Old Christine, The	2007-01-08		106	28	3.79	11	3.17		24 June 2008
769	Mrs. Newton's Body Lies A-Mould'ring in the Grave	Newhart	1982-11-01		1366	208	6.57	52	6.30		03 October 2013
770	Hail to the Councilman	Newhart	1982-11-08		1361	215	6.33	32	5.06		03 October 2013
772	Shall We Gather at the River?	Newhart	1982-11-15		1380	232	5.95	57	6.52		03 October 2013
773	This Probably Is Condemned	Newhart	1982-11-22		1392	237	5.87	53	5.86		03 October 2013
774	No Tigers at the Circus	Newhart	1982-11-29		2753	421	6.54	59	6.58		03 October 2013
775	The Perfect Match	Newhart	1982-12-06		1381	199	6.94	31	5.80		03 October 2013
776	Some Are Born Writers... Others Have Writers Thrust Upon Them	Newhart	1982-12-13		1383	255	5.42	41	5.59		03 October 2013
34	Bitch Session	NewsRadio	1996-01-14		1314	244	5.39	53	4.89		17 January 2008
44	Montana/Sassy/Justice	Nip/Tuck	2003-10-07		1814	361	5.02	153	8.60	From first 30 minutes. Episode information may be incorrect.	18 January 2008
385	North By Northwest	North By Northwest		1959	8023	1292	6.21	125	8.74		14 July 2009
43	Now and Then	Now and Then		1995	2220	343	6.47	69	8.52		17 January 2008
401	Nun's Story, The	Nun's Story, The		1959	8913	987	9.03	103	9.11		08 October 2009
546	Ice Follies	NYPD Blue	1993-11-30		2581	508	5.08	40	4.82		04 November 2011
547	Oscar, Meyer, Weiner	NYPD Blue	1993-12-07		4875	603	8.08	794	34.54		04 November 2011
548	From Hare to Eternity	NYPD Blue	1993-12-14		2521	600	4.20	42	3.87		04 November 2011
549	Up on the Roof	NYPD Blue	1994-01-04		2669	533	5.01	32	4.39		04 November 2011
409	Ocean's Eleven	Ocean's Eleven		1960	7450	590	12.63	168	16.69		16 October 2009
400	Safety Training	Office, The	2007-04-12		1257	253	4.97	47	5.06		01 October 2009
756	Goodbye Michael	Office, The	2011-04-28		2136	768	2.78	19	2.09		15 April 2013
876	Valentine's Day (Part 1)	Office, The	2006-02-09		434	68	6.38	35	6.31		02 February 2014
877	Valentine's Day (Part 2)	Office, The	2006-02-09		405	85	4.76	31	4.63		02 February 2014
878	Valentine's Day (Part 3)	Office, The	2006-02-09		336	71	4.73	14	3.03		02 February 2014
410	On the Beach	On the Beach		1959	8016	372	21.55	793	49.29		16 October 2009
550	Desperate Kingdom of Love, The	One Tree Hill	2004-09-21		2433	190	12.81	166	26.15		04 November 2011
759	4:30 AM (Apparently They Were Travelling Abroad)	One Tree Hill	2009-09-14		2470	587	4.21	25	3.47		15 April 2013
779	Only Angels Have Wings	Only Angels Have Wings		1939	7124	715	9.96	109	12.25		03 October 2013
423	Operation Petticoat	Operation Petticoat		1959	7086	808	8.77	149	11.77		25 October 2009
898	Home Cooked Meal	Our Miss Brooks	1955-06-03		1455	118	12.33	51	9.70		18 February 2014
903	The Big Jump	Our Miss Brooks	1955-05-27		1270	104	12.21	94	12.57		18 February 2014
669	The Camel	Parks and Recreation	2009-11-12		1292	382	3.38	35	2.68		10 July 2012
510	Paths of Glory	Paths of Glory		1957	5222	592	8.82	128	13.13		17 October 2011
35	Patriot Games	Patriot Games		1992	1784	266	6.71	130	9.74	From first 30 minutes, including titles.	17 January 2008
559	Pee-wee's Big Adventure	Pee-wee's Big Adventure		1985	5256	1257	4.18	61	4.15		09 November 2011
427	Wayward Wife	Perry Mason	1960-01-23		3039	412	7.38	71	7.44		06 November 2009
434	The Case of the Prudent Prosecutor	Perry Mason	1960-01-30		2946	367	8.03	70	7.85		11 November 2009
435	The Cae of the Gallant Grafter	Perry Mason	1960-02-06		3033	379	8.00	96	10.54		11 November 2009
436	The Case of the Wary Wildcatter	Perry Mason	1960-02-20		3034	359	8.45	79	10.35		11 November 2009
671	Pickpocket	Pickpocket		1959	4432	428	10.36	52	8.73		23 October 2012
77	Pillsbury Crescent rolls	Pillsbury Crescent rolls	2008-01-28		12	10	1.20	2	0.42		17 March 2008
511	Comedian, The	Playhouse 90	1957-02-14		4290	240	17.88	197	27.23		17 October 2011
512	Days of Wine and Roses	Playhouse 90	1958-10-02		4691	270	17.37	407	34.15		17 October 2011
513	Requiem for a Heavyweight	Playhouse 90	1956-10-11		4303	270	15.94	226	23.90		17 October 2011
407	Please Don't Eat the Daisies	Please Don't Eat the Daisies		1960	6537	412	15.87	163	19.88		16 October 2009
926	Princess Bride, The	Princess Bride, The		1987	5584	1401	3.99	60	3.53		21 July 2014
